Gene_acc,Gene_id,64P1,64P2,64P3,64M1,64M2,64M3,Desc
0,GFP.BLA,662510.25,707159,646057.9375,1109581.25,944173.5625,856184.25,GFP.BLA
1,Tb05.5K5.100:mRNA-p1;Tb927.5.4450:mRNA-p1,114690.9766,128483.0625,111074.6484,167405.5313,151360.9375,162077.8906,"hypothetical protein, conserved"
2,Tb05.5K5.110:mRNA-p1;Tb927.5.4460:mRNA-p1,1563448.875,1852020.75,1866613.875,2357439.25,1907905.5,2255454,"major vault protein, putative"
3,Tb05.5K5.120:mRNA-p1;Tb927.5.4470:mRNA-p1,186962.8906,187011.7188,217264.5469,247776.3906,271916,261519.8906,"hypothetical protein, conserved"
4,Tb05.5K5.130:mRNA-p1;Tb927.5.4480:mRNA-p1,2001408.875,1629075.375,2143743.5,2536182,2642000,2539547.25,"paraflagellar rod component par4, putative"
5,Tb05.5K5.150:mRNA-p1;Tb927.5.4500:mRNA-p1,3170597.75,4121915.75,3302463,2847370.5,2969620.25,3179358.75,"ras-like small GTPase, putative"
6,Tb05.5K5.160:mRNA-p1;Tb927.5.4520:mRNA-p1,557999.875,653796.125,583223.5,737191.8125,629630.25,644060.25,Kinetochore interacting protein 1
8,Tb05.5K5.20:mRNA-p1;Tb927.5.4360:mRNA-p1,180633.5938,183462.1719,174092.9688,148101.5,158822.3438,160688.1563,"hypothetical protein, conserved"
9,Tb05.5K5.200:mRNA-p1;Tb11.v5.0409.1-p1;Tb927.5.4560:mRNA-p1,2292854.5,2395911,2354847.75,2840700,2571254.5,2395846.25,"guanine deaminase, putative"
10,Tb05.5K5.210:mRNA-p1,548350.3125,552240.5625,564239.4375,1082523.5,936142.9375,902749.875,hypothetical protein
11,Tb05.5K5.220:mRNA-p1;Tb927.5.4580:mRNA-p1,15956.55176,1031083.813,14785.47461,40989.10156,34468.51563,33170.49609,Flagellum adhesion protein 3
12,Tb05.5K5.240:mRNA-p1;Tb11.v5.0367.1-p1;Tb927.5.4600:mRNA-p1,73976.60938,56532.98828,45728.77344,228551.0469,199160.1406,209602.1406,"expression site-associated gene 3 (ESAG3) protein, putative"
13,Tb05.5K5.30:mRNA-p1;Tb927.5.4380:mRNA-p1,1964058.375,1971509,1900816,1786720.75,1984183.625,2043600.625,Kinetoplastid-specific Protein Phosphatase 1
14,Tb05.5K5.40:mRNA-p1;Tb927.5.4390:mRNA-p1,100148.3125,100562.1875,99390.09375,182187.5,207271.4844,260392.3438,"hypothetical protein, conserved"
15,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,233019.5469,261437.1563,255947.1094,337574.4688,370652.375,361712.5938,"hypothetical protein, conserved"
16,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,232910.4688,213503.8594,230765.2188,273759.2813,257233.3906,253637.625,"hypothetical protein, conserved"
17,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,4117282.75,4033792.25,4358727,4623971,4512069,4424573,"nucleolar RNA helicase II, putative"
18,Tb05.5K5.80:mRNA-p1;Tb927.5.4430:mRNA-p1,185677.0156,343789.3438,219337.8281,186247.375,203511.125,184474.2656,"calcium/calmodulin-dependent protein kinase, putative"
19,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,146156.3125,93426.44531,143371.1719,185958.375,220152.2344,219430.5313,"dynein light chain, putative"
20,Tb06.3A7.960:mRNA-p1,272501.875,355700.3125,289639.4063,442199.6563,431112.625,357891.875,hypothetical protein
21,Tb07.11L3.100:mRNA-p1;Tb927.7.2150:mRNA-p1,52550.41797,39314.27344,46160.04688,57203.20313,44817.10938,56518.05078,SUMO-interacting motif-containing protein
22,Tb07.11L3.90:mRNA-p1;Tb927.7.2140:mRNA-p1,733653.625,738251.1875,730512.125,630025.5,571478,524468.625,"zinc finger protein family member, putative"
23,Tb08.27P2.110:mRNA-p1;Tb927.8.480:mRNA-p1,66971.25781,80105.78125,67116.79688,141429.6875,115625.3359,97890.59375,"phosphatidic acid phosphatase protein, putative"
24,Tb09.v4.0013:mRNA-p1,259829.7656,217396.9063,214744.25,345800.6875,312178.0938,334969.6875,"retrotransposon hot spot (RHS) protein, putative"
25,Tb09.v4.0014:mRNA-p1;Tb09.v4.0110:mRNA-p1;Tb927.9.15850:mRNA-p1,258829.2656,259303.2031,249099.0938,317352.9688,299214.25,293256.5938,hypothetical protein
